"agency_id","agency_name","address","city","state","zip_code","coordinate_source","latitude","longitude","matched_label","manual_check_reason"
"qfe922dy22imlqcwqybixsl4qyf3","REFORM POLICE DEPARTMENT","Town Hall, Reform","Reform","AL","35481","place_centroid","33.378451","-88.0153008","Reform, Pickens County, Alabama, 35481, United States","Review: coordinate uses place centroid."
"g3b6b4dhlyzj3n35qt21t10a","LOS ANGELES POLICE DEPARTMENT","","Los Angeles","CA","","place_centroid","34.0536909","-118.242766","Los Angeles, Los Angeles County, California, United States","Review: coordinate uses place centroid."
"cm7a0bgot046xewvgaaosroib","U.S. Federal Reserve System","20th St. And Constitution Ave.","N.W., Washington","DC","20551","zip_centroid","38.892","-77.0452","20551 Washington, District of Columbia","Review: coordinate uses ZIP centroid."
"cm7a0bgot046iewvg5qs1f9cn","U.S. Secret Service","245 Murray Drive, Building 410","Washington","DC","20223","place_centroid","38.8950982","-77.0363849","Washington, District of Columbia, United States","Review: coordinate uses place centroid."
"c17783684581c7d0d70","U.S. Secret Service (USSS)","245 Murray Lane SW","Washington","DC","20223","place_centroid","38.895204","-77.0365305","Washington, District of Columbia, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"w0aibkf4fi0om79gsx3w6g7i1nsq","SANGAMON COUNTY SHERIFF'S OFFICE","1 Sheriff's Plaza","Springfield","IL","62703","place_centroid","39.7990175","-89.6439575","Springfield, Sangamon County, Illinois, United States","Review: coordinate uses place centroid."
"mvowoigz9vxnudol7iop7l3i","MELVINDALE POLICE DEPARTMENT","","Melvindale","MI","","place_centroid","42.2825383","-83.175203","Melvindale, Wayne County, Michigan, 48122, United States","Review: coordinate uses place centroid."
"cm7a0bgot048vewvgv748afah","STATE OF MINNESOTA","NULL","Saint Paul","MN","00000-0000","place_centroid","44.9497487","-93.0931028","Saint Paul, Ramsey County, Minnesota, United States","Review: coordinate uses place centroid."
"cm7a0bgot0491ewvgv0noht1a","STATE OF MONTANA","NULL","Helena","MT","00000-0000","place_centroid","46.5927425","-112.036277","Helena, Lewis and Clark County, Montana, United States","Review: coordinate uses place centroid."
"cm7a0bgot049hewvgzqaa5n58","STATE OF NORTH DAKOTA","NULL","Bismarck","ND","00000-0000","place_centroid","46.808327","-100.783739","Bismarck, Burleigh County, North Dakota, United States","Review: coordinate uses place centroid."
"cm7a0bgot049tewvg90kv6ana","STATE OF SOUTH CAROLINA","NULL","Columbia","SC","00000-0000","place_centroid","34.000754","-81.0352313","Columbia, Richland County, South Carolina, United States","Review: coordinate uses place centroid."
